"","target_taxon_name","...1","source_taxon_name","latitude","longitude","ISO_A2","NAME_ES","searched_taxon_name","country_name","Estatus.Taxonómico","Nombre.Válido","Autoridad","Rango.Taxonómico","Familia","Forma.biológica"
"610","Symphyotrichum chilense",551,"Agapostemon angelicus",37.32292,-111.1573,"US","Estados Unidos",NA,NA,NA,NA,NA,NA,NA,NA
"611","Symphyotrichum subulatum",181,"Agapostemon angelicus",34.48,-101.2,"US","Estados Unidos",NA,NA,NA,NA,NA,NA,NA,NA
"612","Symphyotrichum subulatum",163,"Agapostemon angelicus",33.46,-102.6,"US","Estados Unidos",NA,NA,NA,NA,NA,NA,NA,NA
"613","Symphyotrichum subulatum",183,"Agapostemon angelicus",35.35,-101.3,"US","Estados Unidos",NA,NA,NA,NA,NA,NA,NA,NA
"614","Tamarix",283,"Agapostemon angelicus",37.7166,-111.081,"US","Estados Unidos",NA,NA,NA,NA,NA,NA,NA,NA
"615","Tamarix",202,"Agapostemon angelicus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"616","Tamarix",381,"Agapostemon angelicus",37.8651,-111.317,"US","Estados Unidos",NA,NA,NA,NA,NA,NA,NA,NA
"617","Tamarix",276,"Agapostemon angelicus",37.85062,-111.35437,"US","Estados Unidos",NA,NA,NA,NA,NA,NA,NA,NA
"618","Tamarix",401,"Agapostemon angelicus",37.5608,-111.3236,"US","Estados Unidos",NA,NA,NA,NA,NA,NA,NA,NA
"619","Tamarix",293,"Agapostemon angelicus",37.6447,-111.0702,"US","Estados Unidos",NA,NA,NA,NA,NA,NA,NA,NA
"620","Tamarix",316,"Agapostemon angelicus",37.7808,-111.5353,"US","Estados Unidos",NA,NA,NA,NA,NA,NA,NA,NA
"621","Tamarix",319,"Agapostemon angelicus",37.537,-111.322,"US","Estados Unidos",NA,NA,NA,NA,NA,NA,NA,NA
"622","Tamarix",320,"Agapostemon angelicus",37.7787,-111.5326,"US","Estados Unidos",NA,NA,NA,NA,NA,NA,NA,NA
"623","Tamarix",373,"Agapostemon angelicus",37.8175,-111.1785,"US","Estados Unidos",NA,NA,NA,NA,NA,NA,NA,NA
"624","Tamarix",387,"Agapostemon angelicus",37.5452,-111.322,"US","Estados Unidos",NA,NA,NA,NA,NA,NA,NA,NA
"625","Tamarix",577,"Agapostemon angelicus",37.4856,-112.0982,"US","Estados Unidos",NA,NA,NA,NA,NA,NA,NA,NA
"626","Tamarix",510,"Agapostemon angelicus",37.2016,-112.1221,"US","Estados Unidos",NA,NA,NA,NA,NA,NA,NA,NA
"627","Tamarix",561,"Agapostemon angelicus",37.1879,-111.9205,"US","Estados Unidos",NA,NA,NA,NA,NA,NA,NA,NA
"628","Tamarix",554,"Agapostemon angelicus",37.2609,-112.3246,"US","Estados Unidos",NA,NA,NA,NA,NA,NA,NA,NA
"629","Tamarix",592,"Agapostemon angelicus",37.14,-111.8354,"US","Estados Unidos",NA,NA,NA,NA,NA,NA,NA,NA
"630","Tamarix aphylla",125,"Agapostemon angelicus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"631","Tamarix aphylla",19,"Agapostemon angelicus",31.325,-109.265,"MX","MÃ©xico",NA,NA,NA,NA,NA,NA,NA,NA
"632","Tamarix chinensis",624,"Agapostemon (Agapostemon) angelicus",32.42056,-104.2283,"US","Estados Unidos",NA,NA,NA,NA,NA,NA,NA,NA
"633","Tamarix chinensis",647,"Agapostemon (Agapostemon) angelicus",33.32528,-105.9022,"US","Estados Unidos",NA,NA,NA,NA,NA,NA,NA,NA
"634","Tamarix ramosissima",17,"Agapostemon angelicus",31.31222,-109.255,"MX","MÃ©xico",NA,NA,NA,NA,NA,NA,NA,NA
"635","Tamarix ramosissima",18,"Agapostemon angelicus",31.31787,-109.26017,"MX","MÃ©xico",NA,NA,NA,NA,NA,NA,NA,NA
"636","Tamarix ramosissima",53,"Agapostemon angelicus",31.31611,-109.25806,"MX","MÃ©xico",NA,NA,NA,NA,NA,NA,NA,NA
"637","Tamarix ramosissima",67,"Agapostemon angelicus",31.3144,-109.25563,"MX","MÃ©xico",NA,NA,NA,NA,NA,NA,NA,NA
"638","Tamarix ramosissima",92,"Agapostemon angelicus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"639","Taraxacum tenejapense",203,"Agapostemon angelicus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"640","Taraxacum tenejapense",525,"Agapostemon angelicus",37.3001,-111.13506,"US","Estados Unidos",NA,NA,NA,NA,NA,NA,NA,NA
"641","Taraxacum tenejapense",590,"Agapostemon angelicus",37.2959,-111.1197,"US","Estados Unidos",NA,NA,NA,NA,NA,NA,NA,NA
"642","Taraxacum tenejapense",477,"Agapostemon angelicus",37.2941,-111.1414,"US","Estados Unidos",NA,NA,NA,NA,NA,NA,NA,NA
"643","Taraxacum tenejapense",566,"Agapostemon angelicus",37.276,-111.1162,"US","Estados Unidos",NA,NA,NA,NA,NA,NA,NA,NA
"644","Taraxacum tenejapense",535,"Agapostemon angelicus",37.3019,-111.1437,"US","Estados Unidos",NA,NA,NA,NA,NA,NA,NA,NA
"645","Taraxacum tenejapense",581,"Agapostemon angelicus",37.29953,-111.12777,"US","Estados Unidos",NA,NA,NA,NA,NA,NA,NA,NA
"646","Thelypodiopsis divaricata",261,"Agapostemon angelicus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"647","Thelypodiopsis divaricata",483,"Agapostemon angelicus",37.2941,-111.1414,"US","Estados Unidos",NA,NA,NA,NA,NA,NA,NA,NA
"648","Thelypodium integrifolium",199,"Agapostemon angelicus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"649","Thelypodium integrifolium",314,"Agapostemon angelicus",37.9138,-111.2507,"US","Estados Unidos",NA,NA,NA,NA,NA,NA,NA,NA
